PLAYER_ID,ATTACKING,TECHNICAL,TACTICAL,DEFENDING,CREATIVITY
826643,92,86,69,31,73
868812,85,68,60,24,75
910536,76,64,61,30,66
966679,64,40,46,22,45
991011,76,83,69,48,79
15466,65,68,59,44,80
1091116,77,86,56,39,75
831808,63,66,75,61,69
973887,52,61,63,65,61
859025,52,57,75,73,56
835485,72,71,52,32,74
547838,59,63,46,36,70
978562,68,57,54,34,64
142622,40,49,68,73,45
822519,40,49,80,86,44
138572,46,47,56,69,60
66492,43,48,69,75,53
792073,39,50,52,60,47
851271,46,47,50,62,58
857574,,,76,,
41789,82,62,67,34,59
1402912,82,80,66,40,75
831005,80,70,66,42,80
962883,65,50,47,23,51
1150391,72,52,51,26,46
855833,72,59,45,28,60
992587,63,66,55,41,77
795222,58,72,69,56,69
1103693,60,57,57,54,62
45853,68,71,58,42,81
1153270,63,57,46,32,56
69416,50,55,55,53,57
925097,41,49,70,77,49
827212,43,54,61,72,56
997035,47,52,44,55,56
186795,40,50,68,70,46
1402913,39,53,71,73,51
173883,35,49,76,77,49
876214,43,49,71,74,49
580550,36,50,53,60,47
978150,42,51,55,75,49
1142238,39,45,43,64,43
88625,,,76,,
794949,,,55,,
798820,80,61,46,22,60
32048,78,59,60,31,42
826013,62,48,47,29,51
218616,65,52,44,42,62
828969,59,52,43,33,48
319735,69,59,36,30,71
839585,57,60,53,47,61
1106573,50,45,40,46,53
973699,60,64,34,27,61
1142566,59,54,25,27,47
1008037,54,51,42,45,50
1134431,54,56,35,42,47
44864,44,55,67,71,52
908716,57,58,43,48,72
1084081,46,52,33,52,58
856250,46,54,56,63,48
135116,43,52,59,74,41
962378,54,57,38,47,56
129861,37,49,56,67,40
164343,,,72,,
851671,75,62,51,31,61
85859,82,77,69,39,79
125407,71,56,47,27,48
316152,74,59,42,26,58
874705,66,62,40,37,63
1503836,68,45,45,18,46
1099352,66,53,46,36,59
1131581,66,54,49,35,49
930265,53,42,46,43,44
927378,56,38,47,35,36
249399,63,63,53,44,76
353138,58,53,39,48,63
84539,54,58,58,53,68
116955,51,44,52,63,54
1149127,53,54,56,56,61
989113,65,58,29,31,67
1142588,53,63,49,53,57
962710,54,50,41,43,49
831799,49,50,34,57,57
21555,42,48,56,71,50
35612,37,48,70,76,42
325355,37,52,74,77,49
831424,39,45,67,80,44
76265,37,49,62,77,40
825133,49,63,49,62,62
1468046,37,45,49,69,36
69768,,,74,,
857065,,,47,,
605672,78,62,57,34,57
355072,66,52,55,39,45
1009660,54,43,30,32,43
783374,72,62,39,32,69
1085400,75,76,36,27,83
82474,56,55,62,67,62
966801,62,58,35,28,70
592012,70,60,35,32,74
1160960,65,48,38,26,61
359742,56,49,58,56,59
96365,58,66,61,51,67
1012409,47,52,58,64,52
1019318,64,72,45,37,66
910978,36,43,74,82,44
84531,46,50,66,74,55
807648,40,49,67,78,46
52663,46,50,59,66,62
866810,43,49,49,57,50
959872,37,47,70,75,42
801837,42,49,47,64,54
797291,,,76,,
823622,66,49,53,37,53
754710,66,65,25,19,50
352544,77,60,42,24,65
966862,67,61,35,26,59
1099175,63,46,42,32,41
880218,76,70,48,35,76
855835,57,56,51,56,62
1066045,62,54,50,42,66
966837,52,52,68,66,57
592010,60,59,60,58,68
845385,69,59,55,44,75
944165,62,64,34,35,68
980410,54,61,53,50,58
966836,55,62,32,48,64
