PLAYERID,PLAYER_SLUG,POSITIONS
826643,kylian-mbappe,ST
826643,kylian-mbappe,LW
868812,vinicius-junior,LW
868812,vinicius-junior,ST
910536,rodrygo,ST
910536,rodrygo,RW
966679,juanmi-latasa,ST
991011,jude-bellingham,AM
991011,jude-bellingham,MC
15466,luka-modric,MC
1091116,arda-guler,MC
831808,federico-valverde,MC
973887,camavinga-eduardo,MC
973887,camavinga-eduardo,DL
859025,aurelien-tchouameni,MC
859025,aurelien-tchouameni,DM
835485,brahim-diaz,AM
547838,dani-ceballos,MC
547838,dani-ceballos,DM
1171451,nico-paz,MC
978562,reinier,AM
142622,antonio-rudiger,DC
822519,eder-militao,DC
138572,daniel-carvajal,DR
66492,david-alaba,DC
792073,ferland-mendy,DL
851271,fran-garcia,DL
355048,jesus-vallejo,DC
70988,thibaut-courtois,GK
857574,andriy-lunin,GK
41789,robert-lewandowski,ST
1402912,lamine-yamal,RW
831005,raphinha,RW
962883,ansu-fati,LW
1150391,vitor-roque,ST
855833,ferran-torres,LW
855833,ferran-torres,RW
855833,ferran-torres,ST
992587,pedri,MC
795222,frenkie-de-jong,MC
795222,frenkie-de-jong,DM
1103693,gavi,MC
45853,ilkay-gundogan,MC
45853,ilkay-gundogan,AM
45853,ilkay-gundogan,DM
1153270,fermin-lopez,MC
69416,oriol-romeu,MC
69416,oriol-romeu,DM
1082981,pablo-torre,AM
1082981,pablo-torre,MC
1000483,marc-casado,MC
925097,ronald-araujo,DC
925097,ronald-araujo,DR
827212,jules-kounde,DR
827212,jules-kounde,DC
997035,alejandro-balde,DL
186795,andreas-christensen,DC
1402913,pau-cubarsi,DC
173883,inigo-martinez,DC
876214,eric-garcia,DC
1402908,fort-hector,DR
1002564,mikayil-faye,DC
580550,clement-lenglet,DC
580550,clement-lenglet,DL
978150,julian-araujo,DR
1142238,valle-alex,DL
88625,marc-andre-ter-stegen,GK
794949,inaki-pena,GK
1142253,ander-astralaga,GK
798820,artem-dovbyk,ST
32048,cristhian-stuani,ST
826013,abel-ruiz,ST
1031567,pau-victor,ST
218616,portu,RW
828969,manu-vallejo,ST
361790,donny-van-de-beek,MC
361790,donny-van-de-beek,AM
319735,viktor-tsygankov,RW
839585,yangel-herrera,MC
839585,yangel-herrera,DM
839585,yangel-herrera,AM
1106573,jhon-solis,MC
973699,ivan-martin,AM
973699,ivan-martin,MC
1142566,gabriel-misehouy,MC
1031566,ibrahima-kebe,MC
813523,toni-villa,ML
813523,toni-villa,LW
1008037,ilyas-chaira,RW
1134431,oscar-urena,LW
44864,daley-blind,DC
44864,daley-blind,DL
908716,miguel-gutierrez,DL
1084081,arnau-martinez,DR
856250,ladislav-krejci,DC
856250,ladislav-krejci,DL
856250,ladislav-krejci,MC
856250,ladislav-krejci,DM
135116,david-lopez,DC
135116,david-lopez,MC
135116,david-lopez,DM
962378,valery-fernandez,ML
962378,valery-fernandez,RW
962378,valery-fernandez,DR
962378,valery-fernandez,LW
962378,valery-fernandez,MR
129861,juanpe,DC
164343,paulo-gazzaniga,GK
83708,juan-carlos,GK
851671,joao-felix,ST
851671,joao-felix,LW
85859,antoine-griezmann,ST
85859,antoine-griezmann,AM
125407,alvaro-morata,ST
316152,angel-correa,ST
874705,samuel-lino,LW
874705,samuel-lino,ML
1503836,omorodion-samuel,ST
1099352,giuliano-simeone,ST
1131581,carlos-martin,ST
930265,victor-mollejo,ST
930265,victor-mollejo,MR
930265,victor-mollejo,ML
927378,borja-garces,ST
249399,rodrigo-de-paul,MC
353138,marcos-llorente,MC
353138,marcos-llorente,MR
84539,koke,DM
84539,koke,MC
116955,saul-niguez,MC
1149127,arthur-vermeeren,MC
1149127,arthur-vermeeren,DM
191182,thomas-lemar,MC
191182,thomas-lemar,AM
191182,thomas-lemar,ML
989113,rodrigo-riquelme,LW
989113,rodrigo-riquelme,ML
989113,rodrigo-riquelme,AM
1142588,pablo-barrios,MC
962027,marcos-paulo,LW
962027,marcos-paulo,ST
962710,german-valera,RW
1019320,javier-serrano,MC
831799,nahuel-molina,DR
831799,nahuel-molina,MR
21555,cesar-azpilicueta,DR
21555,cesar-azpilicueta,DC
21555,cesar-azpilicueta,MR
35612,axel-witsel,DC
35612,axel-witsel,MC
35612,axel-witsel,DM
325355,jose-maria-gimenez,DC
831424,reinildo-mandava,DL
831424,reinildo-mandava,DC
76265,stefan-savic,DC
76265,stefan-savic,DR
825133,javi-galan,DL
1468046,santiago-mourino,DC
69768,jan-oblak,GK
857065,horatiu-moldovan,GK
605672,gorka-guruzeta,ST
355072,asier-villalibre,ST
1391487,malcom-ares,LW
1082215,javier-marton-anso,ST
1009660,juan-artola,ST
1009660,juan-artola,RW
783374,inaki-williams,RW
783374,inaki-williams,ST
1085400,nico-williams,LW
1085400,nico-williams,RW
82474,ander-herrera,MC
82474,ander-herrera,DM
966801,oihan-sancet,AM
966801,oihan-sancet,MC
592012,alex-berenguer,LW
592012,alex-berenguer,MR
1160960,alvaro-djalo,RW
359742,mikel-vesga,MC
359742,mikel-vesga,DM
96365,inigo-ruiz-de-galarreta,MC
96365,inigo-ruiz-de-galarreta,DM
1391375,unai-gomez,MC
1012409,benat-prados,MC
1012409,benat-prados,DM
1019318,nico-serrano,LW
910978,daniel-vivian,DC
84531,yuri-berchiche,DL
807648,yeray-alvarez,DC
52663,oscar-de-marcos,DR
866810,andoni-gorosabel,DR
959872,aitor-paredes,DC
801837,inigo-lekue,DR
801837,inigo-lekue,DL
1009662,imanol-garcia-de-albeniz,DL
797291,unai-simon,GK
1014412,julen-agirrezabala,GK
823622,mikel-oyarzabal,ST
823622,mikel-oyarzabal,LW
754710,umar-sadiq,ST
352544,sheraldo-becker,ST
966862,ander-barrenetxea,LW
782396,carlos-fernandez,ST
1099175,jon-karrikaburu,ST
353252,martin-merquelanz,LW
353252,martin-merquelanz,RW
880218,kubo-takefusa,RW
855835,sergio-gomez,DL
1066045,arsen-zakharyan,MC
1066045,arsen-zakharyan,LW
966837,martin-zubimendi,MC
966837,martin-zubimendi,DM
592010,mikel-merino,MC
845385,brais-mendez,MC
1116388,jon-aramburu,DR
944165,robert-navarro,ML
944165,robert-navarro,AM
980410,benat-turrientes,MC
980410,benat-turrientes,DM
966836,alex-sola,DR
966836,alex-sola,RW
1010383,jon-ander-olasagasti,MC
1010383,jon-ander-olasagasti,DM
1134396,jon-magunazelaia,ST
353250,alvaro-odriozola,DR
362014,hamari-traore,DR
787751,robin-le-normand,DC
838159,igor-zubeldia,DC
350560,diego-rico,DL
966441,aihen-munoz,DL
785468,aritz-elustondo,DC
785468,aritz-elustondo,DR
934383,jon-pacheco,DC
1064009,urko-gonzalez,DC
1064009,urko-gonzalez,MC
791773,alex-remiro,GK
1094782,unai-marrero,GK
1011375,abdessamad-ezzalzouli,LW
115665,cedric-bakambu,ST
785989,borja-iglesias,ST
789381,chimy-avila,ST
789381,chimy-avila,RW
96369,juanmi,LW
96369,juanmi,ST
103417,isco,AM
103417,isco,MC
337671,nabil-fekir,AM
859767,alex-collado,RW
859767,alex-collado,MC
859767,alex-collado,MR
137978,william-carvalho,MC
137978,william-carvalho,DM
345195,ayoze-perez,LW
990169,johnny,MC
990169,johnny,DM
816763,pablo-fornals,LW
816763,pablo-fornals,AM
816763,pablo-fornals,RW
847128,marc-roca,MC
847128,marc-roca,DM
1493689,assane-diao,RW
1031421,rodri-sanchez,RW
1031421,rodri-sanchez,LW
1031421,rodri-sanchez,AM
992331,iker-losada,AM
992331,iker-losada,ST
1137814,sergi-altimira,MC
158241,german-pezzella,DC
188365,hector-bellerin,DR
111803,youssouf-sabaly,DR
305278,diego-llorente,DC
99519,marc-bartra,DC
893062,aitor-ruibal,DR
893062,aitor-ruibal,RW
827519,romain-perraud,DL
1392077,felix-garreta,DC
50539,adrian,GK
253809,rui-silva,GK
929975,francisco-vieites,GK
309078,alexander-sorloth,ST
867583,ben-brereton-diaz,LW
867583,ben-brereton-diaz,ST
146866,gerard-moreno,ST
827064,arnaut-danjuma,LW
827064,arnaut-danjuma,ST
1089108,ilias-akhomach,RW
1089108,ilias-akhomach,MR
879694,pape-gueye,MC
879694,pape-gueye,DM
910031,alejandro-baena,ML
910031,alejandro-baena,MC
984624,yeremy-pino,MR
984624,yeremy-pino,LW
39182,dani-parejo,MC
138383,denis-suarez,MC
942836,haissem-hassan,MR
942836,haissem-hassan,RW
843678,santi-comesana,MC
843678,santi-comesana,DM
153966,manu-trigueros,MC
153966,manu-trigueros,ML
1088565,ramon-terrats,MC
1088565,ramon-terrats,DM
122810,aissa-mandi,DC
873189,juan-foyth,DR
606346,eric-bailly,DC
344847,johan-mojica,DL
3041,raul-albiol,DC
868715,jorge-cuenca,DC
797290,alfonso-pedraza,DL
53739,kiko-femenia,DR
980732,altimira-adria,DR
962053,filip-jorgensen,GK
951008,diego-conde,GK
909119,hugo-duro,ST
825754,rafa-mir,ST
845693,andre-almeida,MC
990232,alberto-mari,ST
996931,hugo-gonzalez,RW
996931,hugo-gonzalez,MR
188405,samu-castillejo,RW
826948,pepelu,MC
826948,pepelu,DM
1122610,javier-guerra,MC
855830,hugo-guillamon,MC
855830,hugo-guillamon,DC
855830,hugo-guillamon,DM
998950,diego-lopez,RW
790833,sergi-canos,LW
790833,sergi-canos,ML
790833,sergi-canos,MR
966637,fran-perez,MR
966637,fran-perez,RW
797306,mouctar-diakhaby,DC
227922,jose-luis-gaya,DL
953097,cenk-ozkacar,DC
953097,cenk-ozkacar,DL
851282,correia-thierry,DR
1144630,cristhian-mosquera,DC
1184317,gasiorowski-yarek,DC
151138,dimitri-foulquier,DR
996929,jesus-vazquez,DL
996928,cesar-tarrega,DC
930997,giorgi-mamardashvili,GK
97951,stole-dimitrievski,GK
235386,jaume-domenech,GK
84972,kike-garcia,ST
1015993,alan-godoy,ST
855832,antonio-blanco,MC
855832,antonio-blanco,DM
1082968,abderrahman-rebbach,LW
900433,luis-rioja,LW
822607,tomas-conechny,LW
873717,carlos-benavidez,MC
873717,carlos-benavidez,DM
891931,ander-guevara,MC
891931,ander-guevara,DM
788141,jon-guridi,AM
788141,jon-guridi,MC
1084399,vicente-carlos,RW
1084399,vicente-carlos,MR
1009623,abdallahi-mahmoud,MC
1010409,xeber-alkain,RW
1101232,abqar-abdelkabir,DC
896073,nahuel-tenaglia,DR
896073,nahuel-tenaglia,DC
945404,lopez-javi,DL
799195,aleksandar-sedlar,DC
101156,nikola-maras,DC
990659,jesus-owono,GK
369004,antonio-sivera,GK
37318,ante-budimir,ST
997280,raul-garcia-de-haro,ST
824130,jose-manuel-arnaiz,LW
824130,jose-manuel-arnaiz,ST
591132,kike-barja,RW
591132,kike-barja,LW
1086346,iker-benito,LW
149370,moi-gomez,MC
149370,moi-gomez,LW
149370,moi-gomez,ML
260031,ruben-garcia,LW
260031,ruben-garcia,RW
985329,aimar-oroz,MC
985329,aimar-oroz,AM
187313,lucas-torro,MC
187313,lucas-torro,DM
976141,jon-moncayola,MC
1119586,iker-munoz,MC
1119586,iker-munoz,DM
1084381,pablo-ibanez-lumbreras,MC
913732,javi-martinez,MC
913732,javi-martinez,AM
1084394,ander-yoldi,LW
591136,david-garcia,DC
900792,alejandro-catena,DC
255973,ruben-pena,DR
910267,jesus-areso,DR
844752,nacho-vidal,DR
897902,juan-cruz,DL
897902,juan-cruz,DC
330675,unai-garcia,DC
944225,herrando-jorge,DC
1010165,abel-bretones,DL
1086347,moreno-diego,DR
294377,sergio-herrera,GK
99516,aitor-fernandez,GK
604954,borja-mayoral,ST
1048927,peter-gonzalez,RW
794937,carles-alena,MC
811629,luis-milla,MC
811629,luis-milla,DM
385888,mauro-arambarri,MC
385888,mauro-arambarri,DM
1211005,yellu-santiago,MC
307702,djene,DC
307702,djene,DR
805137,omar-alderete,DC
576276,domingos-duarte,DC
980578,gaston-alvarez,DC
980578,gaston-alvarez,DL
311462,fabrizio-angileri,DL
949707,juan-iglesias,DR
155711,jonathan-silva,DL
155711,jonathan-silva,ML
604258,david-soria,GK
826047,jiri-letacek,GK
1513212,chrisantus-uche,MC
19356,iago-aspas,ST
894863,douvikas-anastasios,ST
794950,carles-perez,RW
794950,carles-perez,MR
138890,goncalo-paciencia,ST
1006232,julen-lobete,ST
1006232,julen-lobete,LW
1468090,alfon-gonzalez,LW
595576,jonathan-bamba,LW
595576,jonathan-bamba,ML
557008,franco-cervi,ML
557008,franco-cervi,MC
846492,luca-de-la-torre,MC
846492,luca-de-la-torre,DM
1126779,williot-swedberg,MC
1126779,williot-swedberg,RW
1126779,williot-swedberg,LW
1126779,williot-swedberg,AM
835484,fran-beltran,MC
835484,fran-beltran,DM
997221,dotor-carlos,MC
997221,dotor-carlos,DM
794861,jailson,MC
794861,jailson,DM
794861,jailson,DC
1108451,tadeo-allende,RW
1154935,hugo-alvarez,ML
902051,miguel-baeza,MC
1120669,hugo-sotelo,MC
1120669,hugo-sotelo,DM
1216080,damian-rodriguez,MC
1216080,damian-rodriguez,DM
1398526,miguel-roman,MC
1398526,miguel-roman,DM
859773,oscar-mingueza,DR
859773,oscar-mingueza,DC
796320,joseph-aidoo,DC
363774,mihailo-ristic,DL
363774,mihailo-ristic,ML
892521,unai-nunez,DC
984789,manuel-sanchez,DL
360718,carl-starfelt,DC
210082,javier-manquillo,DR
210082,javier-manquillo,DL
1069703,carlos-dominguez,DC
795257,kevin-vazquez,DR
1002764,sergio-carreira,DR
1008259,javier-rueda,DR
1008259,javier-rueda,MR
32023,vicente-guaita,GK
848980,ivan-villar,GK
905443,marc-vidal,GK
1191206,cesar-fernandez,GK
846470,youssef-en-nesyri,ST
823631,dodi-lukebakio,RW
1018190,romero-isaac,ST
155702,lucas-ocampos,RW
155702,lucas-ocampos,LW
96370,suso,RW
66477,thomas-delaney,MC
66477,thomas-delaney,DM
328145,adnan-januzaj,RW
799054,djibril-sow,MC
799054,djibril-sow,DM
794948,oscar-rodriguez,MC
794948,oscar-rodriguez,AM
591750,joan-jordan,MC
591750,joan-jordan,DM
875890,chidera-ejuke,LW
875890,chidera-ejuke,RW
997033,peque-fernandez,AM
1015240,jose-angel-carmona,DR
1015240,jose-angel-carmona,DC
1142094,bueno-manu,MC
578560,marcos-acuna,DL
822933,gonzalo-montiel,DR
11869,jesus-navas,DR
68332,nemanja-gudelj,DC
68332,nemanja-gudelj,DM
68332,nemanja-gudelj,MC
1003007,tanguy-nianzou,DC
1006489,loic-bade,DC
840951,marcao,DC
1010655,juanlu-sanchez,DR
1010655,juanlu-sanchez,MR
928672,adria-pedrosa,DL
138546,ludwig-augustinsson,DL
1097719,kike-salas,DC
94527,marko-dmitrovic,GK
22209,orjan-nyland,GK
310874,vedat-muriqi,ST
309546,takuma-asano,RW
309546,takuma-asano,ST
790179,cyle-larin,ST
790179,cyle-larin,LW
146852,abdon-prats,ST
110783,sergi-darder,MC
110783,sergi-darder,AM
110783,sergi-darder,DM
988351,samuel-costa,MC
988351,samuel-costa,DM
349526,dani-rodriguez,MC
255999,omar-mascarell,MC
255999,omar-mascarell,DM
826004,manu-morlanes,MC
826004,manu-morlanes,DM
949722,antonio-sanchez,MC
949722,antonio-sanchez,MR
788216,pablo-maffeo,DR
879543,mateu-morey,DR
807116,antonio-raillo,DC
590404,giovanni-gonzalez,DR
300522,martin-valjent,DC
828239,toni-lato,DL
913695,jose-copete,DC
842164,siebe-van-der-heyden,DC
842164,siebe-van-der-heyden,DR
188107,predrag-rajkovic,GK
791046,dominik-greif,GK
1131909,leo-roman,GK
19013,ivan-cuellar,GK
869131,sory-kaba,ST
960401,park-marvin,RW
188407,sandro-ramirez,ST
841854,marc-cardona,ST
1514612,ivan-cedric,ST
1012444,alberto-moleiro,LW
1012444,alberto-moleiro,ML
552668,omenuke-mfulu,MC
552668,omenuke-mfulu,DM
964985,kirian-rodriguez,MC
964985,kirian-rodriguez,AM
933426,loiodice-enzo,MC
933426,loiodice-enzo,DM
933426,loiodice-enzo,AM
96373,jose-campana,MC
353154,javier-munoz,MC
353154,javier-munoz,DM
353154,javier-munoz,AM
916654,manuel-fuster,LW
916654,manuel-fuster,ML
925220,pejino,RW
868223,benito-ramirez,DL
894477,fabio-gonzalez,MC
894477,fabio-gonzalez,DM
979146,mika-marmol,DC
1089453,saul-coco,DC
377206,daley-sinkgraven,DL
914848,alex-suarez,DC
914848,alex-suarez,DR
1513451,juanma-herzog,DC
273227,alex-munoz,DL
273227,alex-munoz,DC
813645,alvaro-lemos,DR
992504,enrique-clemente,DC
992504,enrique-clemente,DL
123865,jasper-cillessen,GK
964983,alvaro-valles,GK
855922,dinko-horkas,GK
138387,raul-de-tomas,ST
910024,sergio-camello,ST
124950,bebe,LW
124950,bebe,ML
913679,ismaila-ciss,MC
913679,ismaila-ciss,DM
899982,isi-palazon,RW
899982,isi-palazon,MR
345111,alvaro-garcia,LW
21949,oscar-trejo,AM
932764,randy-nteka,ST
932764,randy-nteka,AM
900003,jorge-de-frutos,MR
900003,jorge-de-frutos,RW
900008,oscar-valentin,MC
900008,oscar-valentin,DM
588566,unai-lopez,MC
588566,unai-lopez,DM
922939,andres-martin,RW
922939,andres-martin,ST
827491,joni-montiel,AM
1392573,mendez-diego,MC
965031,andrei-ratiu,DR
846147,abdul-mumin,DC
88528,florian-lejeune,DC
542634,alfonso-espino,DL
152446,ivan-balliu,DR
41013,aridane-hernandez,DC
1139724,pelayo-fernandez,DC
1010421,josep-chavarria,DL
947201,martin-pascual,DC
965832,dani-cardenas,GK
945816,miguel-angel-morro,GK
212074,roger-marti,ST
914819,chris-ramos,ST
914819,chris-ramos,LW
1064299,francisco-mwepu,ML
941405,brian-ocampo,RW
844224,tomas-alarcon,MC
844224,tomas-alarcon,DM
259339,ruben-alcaraz,MC
316170,gonzalo-escalante,MC
316170,gonzalo-escalante,DM
846446,rominigue-kouame,MC
846446,rominigue-kouame,DM
329563,ruben-sobrino,ST
329563,ruben-sobrino,ML
148588,alex-fernandez,MC
148588,alex-fernandez,AM
352486,ivan-alejo,MR
352486,ivan-alejo,RW
376382,fede-san-emeterio,MC
376382,fede-san-emeterio,DM
788097,alvaro-jimenez,MR
788097,alvaro-jimenez,RW
141997,jose-mari,MC
141997,jose-mari,DM
855831,victor-chust,DC
349794,fali,DC
887429,santiago-arzamendia,DL
800403,iza-carcelen,DR
260097,luis-hernandez,DC
347450,joseba-zaldua,DR
800987,matos,DL
877602,cristian-glauder,DC
877602,cristian-glauder,DL
138390,david-gil,GK
847993,jose-antonio-caro,GK
914213,luis-javier-suarez,ST
909966,largie-ramazani,LW
909966,largie-ramazani,RW
909966,largie-ramazani,ST
873630,ibrahima-kone,ST
252857,leo-baptistao,RW
252857,leo-baptistao,ST
1100957,marko-milovanovic,ST
934229,arvin-appiah,RW
997203,sergio-arribas,AM
997203,sergio-arribas,ST
914014,iddrisu-baba,MC
914014,iddrisu-baba,DM
982327,dion-lopy,MC
982327,dion-lopy,DM
848926,lucas-robertone,MC
848926,lucas-robertone,AM
848926,lucas-robertone,DM
129451,jonathan-viera,AM
346516,adrian-embarba,LW
346516,adrian-embarba,RW
989878,nicolas-melamed,ML
989878,nicolas-melamed,LW
789886,gonzalo-melero,MC
910023,arnau-puigmal,MC
910023,arnau-puigmal,AM
910023,arnau-puigmal,RW
910023,arnau-puigmal,MR
910023,arnau-puigmal,DM
1131043,gui,MC
818406,cesar-montes,DC
1105331,kaiky,DC
987490,bruno-langa,DL
1094106,marc-pubill,DR
913455,chumi,DC
914522,edgar-gonzalez,DC
848080,alejandro-pozo,DR
823996,aleksandar-radovanovic,DC
823996,aleksandar-radovanovic,DL
845119,houboulang-mendes,DR
964174,centelles-alex,DL
845797,luis-maximiano,GK
139925,fernando-martinez,GK
895533,myrto-uzuni,ST
895533,myrto-uzuni,LW
975814,matias-arezo,ST
293115,famara-diedhiou,ST
814385,lucas-boye,ST
790817,shon-weissman,ST
814820,kamil-jozwiak,RW
814820,kamil-jozwiak,LW
856062,martin-hongla,MC
856062,martin-hongla,DM
914765,gonzalo-villar,MC
914765,gonzalo-villar,DM
1121430,theo-corbeanu,RW
857227,sergio-ruiz-alonso,MC
857227,sergio-ruiz-alonso,DM
861317,oscar-melendo,AM
861317,oscar-melendo,MC
861317,oscar-melendo,MR
986726,ricard-sanchez,DR
914178,neva-carlos,DL
144606,ignasi-miquel,DC
934351,miguel-rubio,DC
235644,pablo-insua,DC
802133,luca-zidane,GK
232548,marc-martinez,GK
914212,miguel-de-la-fuente,ST
958018,roberto-lopez,AM
1121475,diego-garcia,ST
960049,javier-aviles,RW
960049,javier-aviles,ST
960049,javier-aviles,MR
906065,seydouba-cisse,MC
869931,yvan-neyou,MC
869931,yvan-neyou,DM
1134395,naim-garcia,RW
873947,dani-raba,RW
873947,dani-raba,MR
94539,darko-brasanac,MC
94539,darko-brasanac,AM
936234,juan-cruz,AM
822594,julian-chicco,MC
822594,julian-chicco,DM
877603,luis-perea,MC
877603,luis-perea,DM
842419,valentin-rosier,DR
1031658,javier-hernandez,DL
1031658,javier-hernandez,DC
885259,enric-franquesa,DL
377234,sergio-gonzalez,DC
592098,jorge-saenz,DC
992397,aritz-arambarri,DC
1391437,lalo-aguilar,DR
547246,juan-soriano,GK
1391442,alex-gil,MC
965019,stipe-biuk,LW
845168,amath-ndiaye,ML
845168,amath-ndiaye,LW
845168,amath-ndiaye,ST
880157,marcos-andre,ST
793761,mamadou-sylla,ST
1090194,israel-salazar,ST
1133063,akinsola-babatunde,RW
801211,amallah-selim,MC
801211,amallah-selim,AM
252863,darwin-machis,LW
252863,darwin-machis,ML
801391,kenedy,ML
801391,kenedy,RW
859774,monchu,MC
859774,monchu,DM
601962,anuar,MC
601962,anuar,DM
921417,juric-stanko,MC
921417,juric-stanko,DM
980383,raul-moro,LW
980383,raul-moro,ST
857178,kike-perez,MC
857178,kike-perez,DM
142018,ivan-sanchez,RW
142018,ivan-sanchez,MC
1010335,victor-meseguer,MC
1010335,victor-meseguer,DM
233328,cesar-de-la-hoz,MC
233328,cesar-de-la-hoz,DM
814023,eray-comert,DC
943713,javi-sanchez,DC
1067582,boyomo-flavien,DC
970860,lucas-rosa,DR
843180,luis-perez,DR
1214359,david-torres,DC
788197,andre-ferreira,GK
1112734,alvaro-aceves-catalina,GK
984620,alvaro-carrillo,DC
984620,alvaro-carrillo,DR
353262,jon-bautista,ST
1142260,jorge-pascual,ST
1014740,slavy,ST
1085405,jon-guruzeta,RW
566894,stoichkov,LW
566894,stoichkov,ST
795268,pereira-matheus,MC
795268,pereira-matheus,DM
866626,yanis-rahmani,LW
866626,yanis-rahmani,ML
910975,peru-nolaskoain-esnal,MC
910975,peru-nolaskoain-esnal,DM
910975,peru-nolaskoain-esnal,DC
893673,jorge-yriarte,MC
811572,jose-corpas,RW
116692,sergio-alvarez,MC
116692,sergio-alvarez,DM
129471,anaitz-arbilla,DC
851226,juan-berrocal,DC
345193,chema,DC
1164965,cristian-gutierrez,DL
1010772,sergio-cubero,DR
863276,daniel-fuzato,GK
990095,jon-mikel-magunagoitia,GK
66471,martin-braithwaite,ST
66471,martin-braithwaite,LW
175185,pere-milla,ST
1085569,max-svensson,ST
891511,javi-puado,LW
891511,javi-puado,RW
891511,javi-puado,ST
877262,edu-exposito,MC
877262,edu-exposito,AM
877262,edu-exposito,DM
916136,alvaro-aguado,MC
811493,salvi-sanchez,RW
811493,salvi-sanchez,MR
966940,jose-gragera,MC
966940,jose-gragera,DM
605510,jose-carlos-lazo,LW
605510,jose-carlos-lazo,ML
826010,pol-lozano,MC
826010,pol-lozano,DM
1019236,jofre,MR
1064026,omar-el-hilali,DR
81992,leandro-cabrera,DC
125625,sergi-gomez,DC
826679,alvaro-tejero,DR
351500,brian-olivan,DL
857205,fernando-calero,DC
1396048,carlos-romero,DL
1021165,sanchez-saez-ruben,DR
144501,fernando-pacheco,GK
930267,joan-garcia,GK
796512,juan-otero,ST
796512,juan-otero,RW
891959,uros-milovanovic,ST
966295,victor-campuzano,ST
1085111,dani-queipo,LW
1118185,jonathan-varane,MC
1031637,campos-gaspar,LW
1031637,campos-gaspar,ML
807656,lander-olaetxea,MC
896341,ignacio-mendez,MC
896341,ignacio-mendez,DM
1152182,ignacio-martin,MC
46125,jose-angel,DL
907009,axel-bamba,DC
826552,rober-pier,DC
868227,eric-curbelo,DC
1010498,guille-rosas,DR
1009637,pablo-garcia,DL
112877,ruben-yanez,GK
913909,sanchez-christian,GK
981604,alemao,ST
950142,samuel-obeng,ST
1092984,paraschiv-daniel,ST
1010550,alex-millan,ST
1473201,masca,RW
17651,santi-cazorla,MC
17651,santi-cazorla,AM
17651,santi-cazorla,DM
822379,santiago-colombatto,MC
822379,santiago-colombatto,DM
838636,jaime-seoane,MC
838636,jaime-seoane,AM
905639,kwasi-sibo,MC
905639,kwasi-sibo,DM
758666,borja-sanchez,ML
362772,sebas-moyano,LW
1136798,alberto-del-moral,MC
1136798,alberto-del-moral,DM
1085265,alex-suarez,AM
345333,david-costas,DC
188355,rodri-tarin,DC
560756,dani-calvo,DC
597876,lucas-ahijado,DR
368922,aaron-escandell,GK
826568,quentin-braat,GK
1084464,juan-carlos-arana,ST
966957,ekain-zenitagoia,ST
966957,ekain-zenitagoia,AM
784675,cedric-omoigui,ST
605674,inigo-vicente,LW
966802,unai-vencedor,MC
966802,unai-vencedor,DM
50730,lago-junior,LW
50730,lago-junior,ML
1010420,aritz-aldasoro,MC
1010420,aritz-aldasoro,DM
1150431,cabanzon-yeray,RW
949459,inigo-sainz-maza,MC
949459,inigo-sainz-maza,DM
851268,manu-hernando,DC
351086,saul-garcia,DL
914527,moreno-pol,DC
