INDEX,PLAYERID,PLAYER_SLUG,TOURNAMENT_ID,RATING_COUNT,RATING_MEAN,RATING_STD_VAR
0,750,cristiano-ronaldo,1,5,6.959999999999999,0.5366563145999497
1,750,cristiano-ronaldo,27,5,7.5200000000000005,0.816700679563817
2,750,cristiano-ronaldo,463,8,7.4625,1.0966670285134732
3,750,cristiano-ronaldo,851,2,8.05,1.6263455967290579
4,750,cristiano-ronaldo,955,31,7.825806451612903,1.0614354249271702
5,750,cristiano-ronaldo,2058,4,7.75,0.7593857166596343
6,750,cristiano-ronaldo,2119,1,6.6,
7,750,cristiano-ronaldo,13998,4,7.725,0.9639329160614167
8,750,cristiano-ronaldo,21769,1,6.1,
9,791,james-milner,17,15,6.886666666666667,0.39617216074881
10,791,james-milner,679,5,6.76,0.4393176527297758
11,1131,john-ruddy,18,44,7.172727272727273,0.6868748358828798
12,1131,john-ruddy,19,1,6.1,
13,1367,lukas-podolski,202,23,7.065217391304348,0.3600614791597449
14,3041,raul-albiol,8,26,6.811538461538461,0.3397963190817972
15,3041,raul-albiol,329,1,7.0,
16,3041,raul-albiol,679,3,6.633333333333333,0.3214550253664318
17,3306,karim-benzema,357,2,8.100000000000001,0.9899494936611675
18,3306,karim-benzema,463,3,7.066666666666666,0.709459888459759
19,3306,karim-benzema,955,21,7.561904761904763,0.9362030711742998
20,3306,karim-benzema,2058,1,7.8,
21,3306,karim-benzema,2119,2,6.9,0.8485281374238575
22,3306,karim-benzema,13998,2,6.85,0.6363961030678921
23,3530,bafetimbi-gomis,196,17,6.882352941176471,0.7358968118201481
24,3530,bafetimbi-gomis,393,1,6.6,
25,3530,bafetimbi-gomis,463,5,6.62,0.1788854381999834
26,3577,dante,34,32,7.140625,0.47847835087709517
27,3577,dante,335,3,6.733333333333333,0.3785938897200184
28,4811,felipe-melo,92,4,6.975,0.22173557826083443
29,4811,felipe-melo,325,14,6.735714285714286,0.2499450489058093
30,4811,felipe-melo,357,2,6.85,0.7778174593052023
31,4811,felipe-melo,373,1,7.2,
32,4811,felipe-melo,384,12,6.808333333333334,0.19286515936521498
33,4811,felipe-melo,490,2,7.05,0.0707106781186545
34,5672,nene,325,12,6.866666666666667,0.32566947363946475
35,5672,nene,377,5,6.6,0.23452078799117165
36,5672,nene,390,11,6.9363636363636365,0.3443043051509152
37,5920,sinan-bolat,38,30,7.010000000000001,0.7174427767641364
38,6276,espen-ruud,20,23,7.165217391304348,0.7233813879352075
39,6562,joao-moutinho,7,5,7.06,0.3911521443121588
40,6562,joao-moutinho,238,30,7.15,0.47324995218317695
41,6562,joao-moutinho,327,2,7.4,0.0
42,6562,joao-moutinho,336,1,6.6,
43,6562,joao-moutinho,679,2,7.050000000000001,0.49497474683058373
44,7017,niklas-sandberg,20,17,7.252941176470588,0.7133702116177332
45,7058,oscar-wendt,40,15,6.760000000000001,0.4420730385678044
46,7058,oscar-wendt,80,1,6.0,
47,7298,johan-dahlin,40,24,6.833333333333333,0.705670613312439
48,7298,johan-dahlin,80,3,7.0,0.4358898943540672
49,7635,ivan-rakitic,7,6,7.366666666666667,0.595538971576728
50,7635,ivan-rakitic,8,18,7.461111111111112,0.5500148542260296
51,7635,ivan-rakitic,329,2,6.6,0.1414213562373093
52,7635,ivan-rakitic,465,1,6.9,
53,7635,ivan-rakitic,853,1,6.9,
54,7635,ivan-rakitic,955,8,7.1125,0.5817154434453815
55,7674,andreas-johansson,40,16,6.9,0.38122609214655473
56,7674,andreas-johansson,80,1,7.0,
57,8959,manuel-neuer,1,5,6.9,0.4183300132670381
58,8959,manuel-neuer,7,9,7.022222222222222,0.36324157862838935
59,8959,manuel-neuer,35,23,6.939130434782609,0.5332056830110281
60,8959,manuel-neuer,217,1,6.4,
61,8959,manuel-neuer,851,2,7.2,0.2828427124746193
62,8959,manuel-neuer,853,1,6.8,
63,9048,hugo-lloris,242,22,6.9363636363636365,0.7693816035934654
64,9048,hugo-lloris,495,1,6.6,
65,9668,ricardo-batista,238,31,7.0,0.7127411872482186
66,10077,lasse-schone,37,24,6.841666666666666,0.32291695885914795
67,10077,lasse-schone,330,2,7.15,0.777817459305203
68,10406,simon-mignolet,38,31,7.070967741935483,0.4569416800038392
69,10406,simon-mignolet,326,5,7.2,0.4527692569068708
70,10406,simon-mignolet,853,1,6.9,
71,10406,simon-mignolet,17015,11,7.0,0.40743097574926695
72,10577,alex-oxlade-chamberlain,52,20,6.965000000000001,0.49126581935155816
73,10577,alex-oxlade-chamberlain,853,3,6.866666666666667,0.11547005383792526
74,10577,alex-oxlade-chamberlain,17015,7,6.614285714285714,0.2609506430251476
75,10589,ashley-young,17,31,6.680645161290323,0.5424754094818245
76,10589,ashley-young,21,3,7.0,0.6082762530298221
77,11869,jesus-navas,1,3,6.833333333333333,0.6110100926607783
78,11869,jesus-navas,7,4,6.85,0.3000000000000002
79,11869,jesus-navas,8,29,6.868965517241379,0.44889025725024057
80,11869,jesus-navas,27,2,7.25,0.21213203435596475
81,11869,jesus-navas,329,2,6.9,0.0
82,11869,jesus-navas,465,1,7.1,
83,11869,jesus-navas,851,2,7.1,0.14142135623730995
84,11869,jesus-navas,853,1,6.6,
85,12634,rafinha,325,13,6.876923076923077,0.5293924916887378
86,12634,rafinha,372,3,6.866666666666667,0.15275252316519444
87,12634,rafinha,373,3,6.833333333333333,0.9073771725877464
88,12634,rafinha,384,1,6.5,
89,12634,rafinha,480,4,6.9,0.7483314773547881
90,12634,rafinha,14602,1,6.7,
91,12656,luca-cigarini,53,18,6.972222222222222,0.4624812308503869
92,12656,luca-cigarini,328,2,7.7,1.1313708498984758
93,12994,lionel-messi,133,5,7.540000000000001,0.7635443667528434
94,12994,lionel-messi,242,18,8.044444444444444,1.029118539003288
95,12994,lionel-messi,295,5,7.68,0.9230384607371462
96,12994,lionel-messi,495,1,9.0,
97,12994,lionel-messi,498,3,7.966666666666666,0.5033222956847164
98,12994,lionel-messi,851,2,8.0,1.5556349186104041
99,12994,lionel-messi,18553,3,7.066666666666666,0.5131601439446885
100,12994,lionel-messi,21769,2,7.25,1.2020815280171302
101,13028,jonathan-de-guzman,37,32,6.828125,0.35942101739037946
102,13028,jonathan-de-guzman,330,1,6.9,
103,13207,lisandro-lopez,13475,15,6.760000000000001,0.34184374040947846
104,13270,birkir-bjarnason,20,1,6.3,
105,13270,birkir-bjarnason,53,38,6.7894736842105265,0.43730716132121195
106,13274,igor-akinfeev,203,23,7.034782608695653,0.7755401025046258
