PLAYERID,PLAYER_SLUG,STRENGTHS
826643,kylian-mbappe,Finishing
826643,kylian-mbappe,Long balls
826643,kylian-mbappe,Consistency
868812,vinicius-junior,Playmaking
868812,vinicius-junior,Positioning
868812,vinicius-junior,Long balls
910536,rodrygo,Passing
910536,rodrygo,Playmaking
910536,rodrygo,Long balls
991011,jude-bellingham,Passing
991011,jude-bellingham,Long balls
991011,jude-bellingham,Consistency
15466,luka-modric,Long balls
15466,luka-modric,Passing
15466,luka-modric,Playmaking
1091116,arda-guler,Passing
1091116,arda-guler,Long balls
1091116,arda-guler,Consistency
831808,federico-valverde,Passing
831808,federico-valverde,Playmaking
831808,federico-valverde,Long balls
973887,camavinga-eduardo,Long balls
973887,camavinga-eduardo,Ground duels
859025,aurelien-tchouameni,Positioning
859025,aurelien-tchouameni,Ground duels
859025,aurelien-tchouameni,Long balls
835485,brahim-diaz,Passing
835485,brahim-diaz,Long balls
547838,dani-ceballos,Long balls
142622,antonio-rudiger,Aerial duels
822519,eder-militao,Aerial duels
822519,eder-militao,Ground duels
138572,daniel-carvajal,Long balls
792073,ferland-mendy,Long balls
851271,fran-garcia,Passing
70988,thibaut-courtois,Penalty saving
70988,thibaut-courtois,Reflexes
70988,thibaut-courtois,Handling
857574,andriy-lunin,Handling
857574,andriy-lunin,Reflexes
857574,andriy-lunin,High claims
41789,robert-lewandowski,Positioning
41789,robert-lewandowski,Penalty taking
41789,robert-lewandowski,High pressing
1402912,lamine-yamal,Passing
1402912,lamine-yamal,Consistency
1402912,lamine-yamal,High pressing
831005,raphinha,Playmaking
831005,raphinha,Long balls
831005,raphinha,Positioning
962883,ansu-fati,Passing
855833,ferran-torres,Long balls
992587,pedri,Long balls
992587,pedri,Playmaking
992587,pedri,Passing
795222,frenkie-de-jong,Positioning
795222,frenkie-de-jong,Long balls
795222,frenkie-de-jong,Playmaking
45853,ilkay-gundogan,Playmaking
45853,ilkay-gundogan,Long balls
45853,ilkay-gundogan,High pressing
1153270,fermin-lopez,Passing
