PLAYERID,PLAYER_SLUG,WEAKNESSES
868812,vinicius-junior,Ball control
910536,rodrygo,Aerial duels
966679,juanmi-latasa,Ball control
15466,luka-modric,Penalty taking
138572,daniel-carvajal,Discipline
41789,robert-lewandowski,Ball control
1150391,vitor-roque,Ball control
925097,ronald-araujo,Discipline
1002564,mikayil-faye,Discipline
798820,artem-dovbyk,Ground duels
826013,abel-ruiz,Aerial duels
826013,abel-ruiz,Ball control
218616,portu,Aerial duels
828969,manu-vallejo,Aerial duels
1008037,ilyas-chaira,Ball control
856250,ladislav-krejci,Discipline
135116,david-lopez,Error proneness
125407,alvaro-morata,Passing
874705,samuel-lino,Aerial duels
1503836,omorodion-samuel,Ball control
1099352,giuliano-simeone,Aerial duels
1099352,giuliano-simeone,Ball control
1099352,giuliano-simeone,Passing
930265,victor-mollejo,Passing
353138,marcos-llorente,Aerial duels
1149127,arthur-vermeeren,Aerial duels
962710,german-valera,Aerial duels
1019320,javier-serrano,Discipline
21555,cesar-azpilicueta,Long balls
76265,stefan-savic,Discipline
1468046,santiago-mourino,Discipline
1082215,javier-marton-anso,Ball control
1009660,juan-artola,Aerial duels
783374,inaki-williams,Ball control
1160960,alvaro-djalo,Ball control
866810,andoni-gorosabel,Aerial duels
959872,aitor-paredes,Discipline
754710,umar-sadiq,Aerial duels
352544,sheraldo-becker,Aerial duels
1099175,jon-karrikaburu,Ball control
880218,kubo-takefusa,Aerial duels
1066045,arsen-zakharyan,Aerial duels
845385,brais-mendez,Penalty taking
838159,igor-zubeldia,Discipline
115665,cedric-bakambu,Aerial duels
96369,juanmi,Aerial duels
96369,juanmi,Ball control
103417,isco,Aerial duels
345195,ayoze-perez,Aerial duels
1493689,assane-diao,Ball control
827519,romain-perraud,Long balls
309078,alexander-sorloth,Ball control
867583,ben-brereton-diaz,Ball control
867583,ben-brereton-diaz,Aerial duels
910031,alejandro-baena,Discipline
843678,santi-comesana,Discipline
868715,jorge-cuenca,Long balls
797290,alfonso-pedraza,Long balls
797290,alfonso-pedraza,Discipline
980732,altimira-adria,Aerial duels
909119,hugo-duro,Ball control
1122610,javier-guerra,Long balls
966637,fran-perez,Ball control
1184317,gasiorowski-yarek,Long balls
151138,dimitri-foulquier,Long balls
855832,antonio-blanco,Discipline
900433,luis-rioja,Long balls
822607,tomas-conechny,Ball control
822607,tomas-conechny,Passing
1084399,vicente-carlos,Ball control
1084399,vicente-carlos,Passing
1101232,abqar-abdelkabir,Discipline
896073,nahuel-tenaglia,Long balls
945404,lopez-javi,Long balls
37318,ante-budimir,Passing
37318,ante-budimir,Ball control
997280,raul-garcia-de-haro,Passing
824130,jose-manuel-arnaiz,Ball control
824130,jose-manuel-arnaiz,Aerial duels
1086346,iker-benito,Ball control
985329,aimar-oroz,Aerial duels
900792,alejandro-catena,Discipline
255973,ruben-pena,Aerial duels
844752,nacho-vidal,Long balls
330675,unai-garcia,Discipline
944225,herrando-jorge,Long balls
1010165,abel-bretones,Long balls
307702,djene,Discipline
805137,omar-alderete,Passing
980578,gaston-alvarez,Long balls
155711,jonathan-silva,Long balls
604258,david-soria,Error proneness
19356,iago-aspas,Aerial duels
894863,douvikas-anastasios,Ball control
894863,douvikas-anastasios,Passing
138890,goncalo-paciencia,Ball control
595576,jonathan-bamba,Aerial duels
846492,luca-de-la-torre,Aerial duels
835484,fran-beltran,Aerial duels
1108451,tadeo-allende,Passing
1108451,tadeo-allende,Ball control
363774,mihailo-ristic,Long balls
984789,manuel-sanchez,Aerial duels
795257,kevin-vazquez,Long balls
846470,youssef-en-nesyri,Passing
846470,youssef-en-nesyri,Ball control
155702,lucas-ocampos,Ball control
794948,oscar-rodriguez,Aerial duels
1015240,jose-angel-carmona,Discipline
578560,marcos-acuna,Discipline
11869,jesus-navas,Aerial duels
1006489,loic-bade,Discipline
1010655,juanlu-sanchez,Long balls
928672,adria-pedrosa,Long balls
138546,ludwig-augustinsson,Long balls
1097719,kike-salas,Discipline
1097719,kike-salas,Long balls
310874,vedat-muriqi,Ball control
310874,vedat-muriqi,Passing
309546,takuma-asano,Ball control
309546,takuma-asano,Aerial duels
790179,cyle-larin,Ball control
349526,dani-rodriguez,Aerial duels
788216,pablo-maffeo,Long balls
788216,pablo-maffeo,Passing
807116,antonio-raillo,Discipline
913695,jose-copete,Discipline
869131,sory-kaba,Ball control
869131,sory-kaba,Passing
960401,park-marvin,Aerial duels
188407,sandro-ramirez,Ball control
964985,kirian-rodriguez,Aerial duels
910024,sergio-camello,Aerial duels
910024,sergio-camello,Ball control
899982,isi-palazon,Ball control
