TEAM_NAME,TEAM_SHORT_NAME,TEAM_ID,LEAGUE_SLUG,LEAGUE_ID,LEAGUE_NAME,COUNTRY
Real Madrid,Real Madrid,2829,laliga,8,LaLiga,Spain
Barcelona,Barcelona,2817,laliga,8,LaLiga,Spain
Girona FC,Girona,24264,laliga,8,LaLiga,Spain
Atlético Madrid,Atl. Madrid,2836,laliga,8,LaLiga,Spain
Athletic Club,Athletic Club,2825,laliga,8,LaLiga,Spain
Real Sociedad,Real Sociedad,2824,laliga,8,LaLiga,Spain
Real Betis,Betis,2816,laliga,8,LaLiga,Spain
Villarreal,Villarreal,2819,laliga,8,LaLiga,Spain
Valencia,Valencia,2828,laliga,8,LaLiga,Spain
Deportivo Alavés,Alavés,2885,laliga,8,LaLiga,Spain
Osasuna,Osasuna,2820,laliga,8,LaLiga,Spain
Getafe,Getafe,2859,laliga,8,LaLiga,Spain
Celta Vigo,Celta,2821,laliga,8,LaLiga,Spain
Sevilla,Sevilla,2833,laliga,8,LaLiga,Spain
Mallorca,Mallorca,2826,laliga,8,LaLiga,Spain
Las Palmas,Las Palmas,6577,laliga,8,LaLiga,Spain
Rayo Vallecano,Rayo Vallecano,2818,laliga,8,LaLiga,Spain
Cádiz,Cádiz,4488,laliga,8,LaLiga,Spain
Almería,Almería,2858,laliga,8,LaLiga,Spain
Granada,Granada,33779,laliga,8,LaLiga,Spain
Leganés,Leganés,2845,laliga-2,54,LaLiga2,Spain
Real Valladolid,Real Valladolid,2831,laliga-2,54,LaLiga2,Spain
Eibar,Eibar,2839,laliga-2,54,LaLiga2,Spain
Espanyol,Espanyol,2814,laliga-2,54,LaLiga2,Spain
Sporting Gijón,Sporting,2852,laliga-2,54,LaLiga2,Spain
Real Oviedo,Real Oviedo,2851,laliga-2,54,LaLiga2,Spain
Racing de Santander,Racing de Santander,2835,laliga-2,54,LaLiga2,Spain
Levante UD,Levante,2849,laliga-2,54,LaLiga2,Spain
Burgos Club de Fútbol,Burgos,2854,laliga-2,54,LaLiga2,Spain
Racing de Ferrol,Racing de Ferrol,2843,laliga-2,54,LaLiga2,Spain
Elche,Elche,2846,laliga-2,54,LaLiga2,Spain
Tenerife,Tenerife,2822,laliga-2,54,LaLiga2,Spain
Albacete Balompié,Albacete,2848,laliga-2,54,LaLiga2,Spain
FC Cartagena,Cartagena,24329,laliga-2,54,LaLiga2,Spain
Real Zaragoza,Real Zaragoza,2815,laliga-2,54,LaLiga2,Spain
CD Eldense,Eldense,47321,laliga-2,54,LaLiga2,Spain
Huesca,Huesca,24265,laliga-2,54,LaLiga2,Spain
Mirandés,Mirandés,35092,laliga-2,54,LaLiga2,Spain
SD Amorebieta,Amorebieta,54103,laliga-2,54,LaLiga2,Spain
AD Alcorcón,Alcorcón,24322,laliga-2,54,LaLiga2,Spain
FC Andorra,FC Andorra,324871,laliga-2,54,LaLiga2,Spain
Villarreal B,Villarreal B ,24338,laliga-2,54,LaLiga2,Spain
Manchester City,Man City,17,premier-league,17,PremierLeague,England
Arsenal,Arsenal,42,premier-league,17,PremierLeague,England
Liverpool,Liverpool,44,premier-league,17,PremierLeague,England
Aston Villa,Aston Villa,40,premier-league,17,PremierLeague,England
Tottenham Hotspur,Tottenham ,33,premier-league,17,PremierLeague,England
Chelsea,Chelsea,38,premier-league,17,PremierLeague,England
Newcastle United,Newcastle,39,premier-league,17,PremierLeague,England
